X,Y,wmElementN,wmType,wmLatitude,wmLongitud,icon_url
-93.970933668125,47.3638786315505,"2448452302",Transformer,47.36397171020,-93.97092437740,./0.png
-93.9719997045857,47.3647189460472,"40708467691",Transformer,47.36481475830,-93.97199249270,./0.png
-93.9652223873375,47.3516505506044,"1752911494",Transformer,47.35174560550,-93.96520996090,./0.png
-93.9595989365254,47.3496243466908,30M1388234,Transformer,47.34972000120,-93.95958709720,./0.png
-93.969230092682,47.3546494270162,"50007185412",Transformer,47.35474395750,-93.96922302250,./0.png
-93.9701696172598,47.3545399294375,"971079987",Transformer,47.35463333130,-93.97016143800,./0.png
-93.9710244300607,47.3542159394652,"50007185433",Transformer,47.35430908200,-93.97101593020,./0.png
-93.9676854259933,47.3556290265085,"50007185420",Transformer,47.35572433470,-93.96767425540,./0.png
-93.9686280067273,47.3574889258957,"60708521876",Transformer,47.35758209230,-93.96862030030,./0.png
-93.8482356588901,47.3550367733562,9F750599A,Transformer,47.35513305660,-93.84822845460,./0.png
-93.8480027018929,47.3541517811667,"08190315",Transformer,47.35424804690,-93.84799194340,./0.png
-93.8460657455014,47.353341741079,"1937281",Transformer,47.35343551640,-93.84605407710,./0.png
-93.8411708067116,47.3522616236873,G1919435,Transformer,47.35235595700,-93.84116363530,./0.png
-93.8389828968953,47.3504865925221,77A271751,Transformer,47.35058212280,-93.83897399900,./0.png
-93.8493618298669,47.353291842392,"40708467702",Transformer,47.35338592530,-93.84934997560,./0.png
-93.8489753066333,47.3533383421287,"80708565341",Transformer,47.35343170170,-93.84896850590,./0.png
-93.8887016206858,47.3335772296824,34A5365159,Transformer,47.33367156980,-93.88869476320,./0.png
-93.8898818138106,47.3339708142716,"881084196",Transformer,47.33406448360,-93.88986968990,./0.png
-93.8806535894068,47.3345719924079,"40808697034",Transformer,47.33466720580,-93.88064575200,./0.png
-93.875578543607,47.3357178339349,"1751143",Transformer,47.33581161500,-93.87557220460,./0.png
-93.8779515341721,47.3358028971522,D6668217,Transformer,47.33589553830,-93.87794494630,./0.png
-93.8876436141323,47.3337621973989,"2598",Transformer,47.33385849000,-93.88763427730,./0.png
-93.8819527253054,47.352441735687,0324B628,Transformer,47.35253524780,-93.88194274900,./0.png
-93.880312874176,47.3494097404748,"91109270205",Transformer,47.34950256350,-93.88030242920,./0.png
-93.9006939840392,47.3463623499263,"51911435765",Transformer,47.34645843510,-93.90068054200,./0.png
-93.896626064768,47.344843263694,"0002121704",Transformer,47.34493637080,-93.89661407470,./0.png
-93.8953811248884,47.3436152497884,"670534",Transformer,47.34370803830,-93.89537048340,./0.png
-93.895208339035,47.3391553177803,"1713152192",Transformer,47.33924865720,-93.89519500730,./0.png
-93.8960043255641,47.3393733353386,"1014626",Transformer,47.33946609500,-93.89599609380,./0.png
-93.8966282305365,47.3413703204981,70TA664116,Transformer,47.34146499630,-93.89662170410,./0.png
-93.8875533239016,47.3397850961472,M98B15442,Transformer,47.33987808230,-93.88754272460,./0.png
-93.8899636032401,47.3388098643595,"751025087",Transformer,47.33890533450,-93.88995361330,./0.png
-93.8887943195904,47.3398221298833,T-2356,Transformer,47.33991622920,-93.88878631590,./0.png
-93.8952713235395,47.3394553143569,69B2609138,Transformer,47.33955001830,-93.89526367190,./0.png
-93.8962101844367,47.328470037338,"30908866897",Transformer,47.32856369020,-93.89620208740,./0.png
-93.8905336428366,47.3330432886267,84NE080047,Transformer,47.33313751220,-93.89052581790,./0.png
-93.8861017202967,47.3316081906689,19B5696505,Transformer,47.33170318600,-93.88609313960,./0.png
-93.8853217055641,47.3319631627113,76A183462,Transformer,47.33205795290,-93.88531494140,./0.png
-93.8171707657974,47.2525324982668,1249DEC,Transformer,47.25262832640,-93.81716156010,./0.png
-93.8168024452441,47.2590623883287,"60708521879",Transformer,47.25915527340,-93.81679534910,./0.png
-93.6949056213796,47.4084434440816,"51610351661",Transformer,47.40853881840,-93.69489288330,./0.png
-93.7962547542212,47.3643960280589,"61510147825",Transformer,47.36449050900,-93.79624176030,./0.png
